Timestamp,"Are you a student of the University of Sindh, Jamshoro?",Gender,Department/Faculty,Semester,Year,Age Group,Study Program,"From which area do you travel to the university? (Example: Latifabad #7, Qasimabad, Old Campus, Market etc.)",How do you usually travel?,How many UniPoint pick-up points are available in your area?,Why don’t you use UniPoint?,Does a UniPoint stop exist near your area?,Do you think UniPoint should increase the number of UniPoints to solve timing issues or expand routes to cover more residential areas?,Score,How do you rate the condition and punctuality of UniPoint buses?,Any suggestions or feedback for UniPoint management?
10/18/2025 17:48:59,Yes,Male,Information Technology ,6,3rd,18–22,BS,Jamshoro Society ,UniPoint (University Transport),2,,,Yes,,1,"In over area, jamshoro society phase 1, only 2 points do come on daily bases, they just stay the main road, they don’t come inside as before also we want you arrange 2 more unipoints in our area"
10/18/2025 18:07:00,Yes,Female,Data Science ,6,3rd,18–22,BS,Gulshan e Zeal Pak Society ,UniPoint (University Transport),2,,,Yes,,1,"Please Grant Offical uni buses to every area like Gulshan e Zeal pak society Hyderabad, Fateh chowk Hyderabad because local buses are assigned to pick up the students that are mostly late damaged and defective we students face alot of difficulties to reach uni on time "
10/18/2025 18:24:39,Yes,Male,Data science ,6,3rd,23–26,BS,etc,Public Transport (Bus/Rickshaw),,Timing issues,Yes,Yes,,,Official point 1 bajha se start ki jae
10/18/2025 18:26:01,Yes,Male,IT,4,2nd,23–26,BS,Latifabad #7,UniPoint (University Transport),1,,,Yes,,1,"The university transport system needs serious improvement. The number of buses (points) is very limited, and most of them are in very poor condition — broken, dirty, and barely suitable for travel. During return hours, buses are overcrowded to a dangerous level. Students are forced to stand, rush for seats, and sometimes even fall or get hurt while boarding. It’s unsafe and uncomfortable. A bus made for around 50 passengers often carries over 120–150 students. Despite this, the management doesn’t seem to take notice or increase the number of points. Please increase the number of buses and ensure they are maintained properly for students’ safety and convenience"
10/18/2025 18:27:01,Yes,Male,Data Science (FET),6,3rd,18–22,BS,Naseem nagr choke ,UniPoint (University Transport),4,,,Yes,,1,"Uni point management should have to increase number of safe points not the points which are very risky to travel, please "
10/18/2025 18:27:12,Yes,Male,Data science ,4,2nd,18–22,BS,Society ,Personal Transport (Car/Bike),,Comfort/convenience,No,Maybe,,,More Uni point
10/18/2025 18:29:23,Yes,Male,Faculty of Engineering and technology ,4,2nd,18–22,Data Science ,I travel from citizens colony ,UniPoint (University Transport),1,,,Yes,,3,They should make punctuality of time and make points condition better in many areas they should increase number of points
10/18/2025 18:50:10,Yes,Male,Anthropology and Archaeology ,7,4th,23–26,BS,Channel ,UniPoint (University Transport),1,,,Maybe,,3,
10/18/2025 19:41:21,Yes,Male,Bs(Data science),6,3rd,18–22,BS,Afandi town ,UniPoint (University Transport),3,,,Yes,,1,"Afandi town pr sirf boys k liya ak hi ata he or Friday wo bh nh ata to point bharha jya or time bh 5,10 mint wait k raken"
10/18/2025 20:00:07,Yes,Female,Data Science ,6,3rd,23–26,BS,Latifabad # 5,UniPoint (University Transport),4,,,Yes,,1,
10/18/2025 22:18:51,Yes,Male,Engineering and Technology,8,4th,23–26,BS,Qasimabad,UniPoint (University Transport),3,,,No,,4,Decrease Old Shuttles Increase New Official Points
10/18/2025 23:31:47,Yes,Male,Data science ,6,3rd,18–22,BS,Tandoallahyar ,Private point,,,Yes,Yes,,,
10/19/2025 0:09:46,Yes,Female,Data Science / Faculty Of Engineering And Technology ,4,2nd,18–22,BS,"Block B, M.U.E.C.H.S, Jamshoro",UniPoint (University Transport),1,,,Yes,,2,"There's more than 20 people coming from M.U.E.C.H.S, yet we have to use the unipoint of Kotri, which usually ends up to be full by the time it reaches us, so we all have to stand, plus they mostly don't even stop for us, so I'll kindly ask for those routes and unipoints to be increased and include our area."
10/19/2025 0:20:33,Yes,Male,Software Engineering ,2,2nd,18–22,BS,Old Campus ,UniPoint (University Transport),4,,,Yes,,1,Welcome to sindh university
10/19/2025 1:11:14,Yes,Female,Software Engineering ,6,3rd,18–22,BS,Latifabad # 5 Latifabad ,UniPoint (University Transport),4,,,Yes,,3,"The points should be effective so that the frequent accidents no longer happen, and there should be more points so that the girls don’t have to stand and wait.
"
10/19/2025 1:42:13,Yes,Male,Data Science,6,3rd,18–22,BS,Old Campus,UniPoint (University Transport),4,,,No,,5,Do your best🗣️
10/19/2025 1:45:43,Yes,Male,Faculty of Engineering & Technology ,4,2nd,18–22,BS,Qasimabad ,UniPoint (University Transport),2,,,Maybe,,2,"Specific Number Should be mentioned letting students know which point will go to which area and pickup students, uni drivers should be cooperative and properly stop the point like MUET point drivers stop whenever a student is waving to get in the point, students should also have some civic sense to properly enter in the point don't fight with each other at point doors"
10/19/2025 1:46:59,Yes,Male,Software Engineering ,4,2nd,18–22,BS,Qasimabad,UniPoint (University Transport),2,,,Yes,,2,University point slow chale aur private point band kare only university ponit chale aur overload na kare thank you
10/19/2025 2:03:48,Yes,Male,Software Engineering (FET),4,2nd,18–22,BS,Al Fateh Town Near Honda Palace,UniPoint (University Transport),1,,,Yes,,1,"The university bus service is honestly very bad. The buses are always dirty, and overcrowded like extremely overloaded. Students are packed inside with no comfort or safety. The drivers act like they’re racing instead of driving responsibly. There’s zero management and no one cares if students is comfortable The buses are old dirty and not maintained they emit harmful black smoke which causes health problems in students and also damage the environment ,nothing ever improves no matter how many complaints are made. It feels like the university just doesn’t care about students’ transport problems at all."
10/19/2025 2:06:50,Yes,Male,Software Engineering,4,2nd,18–22,BS,Naseem nagar ,UniPoint (University Transport),1,,,Yes,,2,University should bring new points which run punctually on time and every student should get sitting space and there should be no one standing in the bus to increase safety. And also university should stop these old local buses and replace them with better ones for student safety.
10/19/2025 2:12:58,Yes,Male,BS(software engineering),4,2nd,18–22,BS,Qasimabad,UniPoint (University Transport),2,,,Yes,,1,"The condition of UniPoint buses is very poor. I have been traveling by point for six months, and most of the buses are in bad shape. The buses make a lot of noise while running, the windows are broken, and overall maintenance is not good. I request the management to please improve the condition of the buses for students’ safety and comfort."
10/19/2025 3:11:33,Yes,Male,FET,4,2nd,18–22,BS,Kotri city ,Personal Transport (Car/Bike),,Comfort/convenience,No,Yes,,,They shouldincrease number of point according to students of area
10/19/2025 4:39:22,Yes,Male,Faculty of Engineering and Technology ,4,2nd,18–22,BS,Market,UniPoint (University Transport),1,,,Yes,,1,Please kindly manage the transport system carefully students stand in points like animals there is no any official member who takes notice on this issue
10/19/2025 6:00:47,Yes,Male,software engineering,4,2nd,18–22,BS,Qasimabad,UniPoint (University Transport),4,,,Yes,,2,
10/19/2025 7:11:47,Yes,Male,Software engineering/FET,4,2nd,18–22,BS,Qasimabad ,Personal Transport (Car/Bike),,Comfort/convenience,No,Yes,,,
10/19/2025 7:51:11,Yes,Male,Anthropology and Archeology ,8,4th,18–22,BS,Latifabad 1,UniPoint (University Transport),2,,,Maybe,,1,"They should be punctual at a time.students facing problem for late coming point ,it's the reasons that student can't punctual."
10/19/2025 9:46:56,Yes,Male,Software engineering,4,2nd,18–22,BS,Khuda ki basti site kotri,UniPoint (University Transport),4,,,No,,1,Please make sure the dailly check and balance of University points.
10/19/2025 10:10:02,Yes,Male,Biotechnology ,4,2nd,18–22,BS,Qasimabad ,UniPoint (University Transport),2,,,Yes,,2,"Students ko seat by seat pick krnaa chahiye , overload nhn krnaa chaiye! "
10/19/2025 10:10:47,Yes,Female,Biotechnology ,4,2nd,18–22,BS,Qasimabad,UniPoint (University Transport),7,,,Maybe,,2,
10/19/2025 10:29:42,Yes,Male,Biotechnology ,4,2nd,18–22,BS,Mirpurkhas ,UniPoint (University Transport),3,,,Yes,,2,They don't give us seat because they say ledies first and another issue is that they are not punctual of time so I think they have to increase the number of uni points
10/19/2025 10:57:12,Yes,Male,Software Engineering ,4,2nd,18–22,BS,Qasimabad ,UniPoint (University Transport),1,,,Yes,,1,Iam not satisfied with university transportation
10/19/2025 11:16:27,Yes,Male,FET SOFTWARE ENGINEERING,4,2nd,18–22,BS,Jamshoro Wapda Colony,UniPoint (University Transport),1,,,Yes,,2,Please Apne drivers Change krein Mout ke sath khelte hain jab koi aur point enhe cross kre Ham Students ki jaan ki parwah nh krte.
10/19/2025 12:42:48,Yes,Female,Institute of biotechnology ,4,2nd,18–22,BS,Qasimabad ,UniPoint (University Transport),1,,,Yes,,2,It should be safer and punctual in time
10/19/2025 12:47:06,Yes,Female,Faculty of engineering and technology ,8,4th,18–22,BS,Qasimabad,UniPoint (University Transport),4,,,Yes,,3,
10/19/2025 12:49:40,Yes,Male,IMCS,4,2nd,18–22,BS,Latifabad#5,UniPoint (University Transport),3,,,Maybe,,2,No idea
10/19/2025 12:53:17,Yes,Female,Information Technology ,8,4th,18–22,BS,Latifabad 12,UniPoint (University Transport),2,,,Yes,,2,Reach on time
10/19/2025 12:57:01,Yes,Female,SOFTWARE ENGINEERING ,4,2nd,18–22,BS,Kohsar,UniPoint (University Transport),2,,,Yes,,1,They should Provide official university points for the areas which are very far like kohsar Airport road.
10/19/2025 13:02:21,Yes,Female,Data science,2,1st,18–22,BS,Old campus,UniPoint (University Transport),4,,,Yes,,3,Pls be punctual
10/19/2025 13:02:39,Yes,Female,Software engineering ,2,1st,18–22,BS,Sindh university society phase 1,UniPoint (University Transport),,,,Yes,,3,
10/19/2025 13:07:41,Yes,Male,Software Engineering FET,4,2nd,18–22,BS,Qasimabad ,UniPoint (University Transport),,,,Yes,,1,
10/19/2025 13:22:38,Yes,Female,Information Technology/ FET,6,3rd,18–22,BS,Tando Jam,UniPoint (University Transport),3,,,Maybe,,3,"Our points are private and we have to pay 250 rupees daily which is high amount as a student.
So university should give atleast half rent. This will be appreciateable. "
